Sourceip,Destinationip,Sourceport,Destinationport,OS,Flags,Protocol,TTL,Length,Date,Time,Comments
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,142,2022/02/08,19:52:25,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1211,2022/02/08,19:52:25,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1211,2022/02/08,19:52:25,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1211,2022/02/08,19:52:25,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1211,2022/02/08,19:52:25,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1211,2022/02/08,19:52:25,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,130,2022/02/08,19:52:25,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1211,2022/02/08,19:52:25,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1211,2022/02/08,19:52:25,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1211,2022/02/08,19:52:25,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1211,2022/02/08,19:52:25,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,131,2022/02/08,19:52:25,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1211,2022/02/08,19:52:25,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1211,2022/02/08,19:52:25,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1211,2022/02/08,19:52:25,NULL
142.250.82.149,192.168.43.6,19305,60819,O,NULL,UDP,116,94,2022/02/08,19:52:25,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1211,2022/02/08,19:52:25,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1211,2022/02/08,19:52:25,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,71,2022/02/08,19:52:25,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1211,2022/02/08,19:52:25,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1211,2022/02/08,19:52:25,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1211,2022/02/08,19:52:25,NULL
192.168.43.6,142.250.82.149,62872,19305,W,NULL,UDP,128,70,2022/02/08,19:52:25,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1211,2022/02/08,19:52:25,NULL
192.168.43.6,142.250.82.149,62872,19305,W,NULL,UDP,128,103,2022/02/08,19:52:26,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1211,2022/02/08,19:52:26,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1211,2022/02/08,19:52:26,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1212,2022/02/08,19:52:26,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1212,2022/02/08,19:52:26,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1212,2022/02/08,19:52:26,NULL
192.168.43.6,142.250.82.149,62872,19305,W,NULL,UDP,128,67,2022/02/08,19:52:26,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1212,2022/02/08,19:52:26,NULL
142.250.82.149,192.168.43.6,19305,60819,O,NULL,UDP,116,98,2022/02/08,19:52:26,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1212,2022/02/08,19:52:26,NULL
